id,reviewer_id,sample_id,smell,severity,review_timestamp,type,code_name,repository,commit_hash,path,start_line,end_line,link,is_from_industry_relevant_project
528,6,5786929,blob,critical,37:38.1,class,org.apache.tez.runtime.library.common.writers.UnorderedPartitionedKVWriter,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java,89,1427,https://github.com/apache/tez/blob/d5675c332497c1ac1dedefdf91e87476b5c0d7a9/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java/#L89-L1427,1
554,6,5828468,blob,major,44:23.9,class,org.apache.unomi.mailchimp.services.internal.MailChimpServiceImpl,git@github.com:apache/unomi.git,1745c5221401a05e66ebf80fbe9cce2790442b3a,/extensions/unomi-mailchimp/services/src/main/java/org/apache/unomi/mailchimp/services/internal/MailChimpServiceImpl.java,40,434,https://github.com/apache/unomi/blob/1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/unomi-mailchimp/services/src/main/java/org/apache/unomi/mailchimp/services/internal/MailChimpServiceImpl.java/#L40-L434,1
592,6,5884892,blob,major,50:05.9,class,org.apache.usergrid.batch.service.JobSchedulerService,git@github.com:apache/usergrid.git,ac1e6e4035f9307b871478ed47246cf92cfd5f7f,/stack/core/src/main/java/org/apache/usergrid/batch/service/JobSchedulerService.java,55,450,https://github.com/apache/usergrid/blob/ac1e6e4035f9307b871478ed47246cf92cfd5f7f/stack/core/src/main/java/org/apache/usergrid/batch/service/JobSchedulerService.java/#L55-L450,1
652,6,6051731,blob,critical,59:29.3,class,org.eclipse.dawnsci.slicing.api.system.DimsDataList,git@github.com:eclipse/dawnsci.git,1131d5c65e9e8ea98141eecee1743cf1053544f4,/org.eclipse.dawnsci.slicing.api/src/org/eclipse/dawnsci/slicing/api/system/DimsDataList.java,26,549,https://github.com/eclipse/dawnsci/blob/1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.slicing.api/src/org/eclipse/dawnsci/slicing/api/system/DimsDataList.java/#L26-L549,1
660,7,6079026,blob,critical,03:35.0,class,org.eclipse.ditto.services.concierge.enforcement.LiveSignalEnforcement,git@github.com:eclipse/ditto.git,7fec826b94f3711f6c6ef6be1685b60bd1a8ccb5,/services/concierge/enforcement/src/main/java/org/eclipse/ditto/services/concierge/enforcement/LiveSignalEnforcement.java,57,319,https://github.com/eclipse/ditto/blob/7fec826b94f3711f6c6ef6be1685b60bd1a8ccb5/services/concierge/enforcement/src/main/java/org/eclipse/ditto/services/concierge/enforcement/LiveSignalEnforcement.java/#L57-L319,1
704,7,6216254,blob,major,14:30.6,class,org.eclipse.elk.core.meta.metaData.impl.MetaDataFactoryImpl,git@github.com:eclipse/elk.git,9a87764f00d863463b1be6de1920d8aa3c3ade70,/plugins/org.eclipse.elk.core.meta/src-gen/org/eclipse/elk/core/meta/metaData/impl/MetaDataFactoryImpl.java,32,307,https://github.com/eclipse/elk/blob/9a87764f00d863463b1be6de1920d8aa3c3ade70/plugins/org.eclipse.elk.core.meta/src-gen/org/eclipse/elk/core/meta/metaData/impl/MetaDataFactoryImpl.java/#L32-L307,1
767,5,6329919,blob,critical,08:57.1,class,org.eclipse.kapua.service.authentication.credential.shiro.CredentialServiceImpl,git@github.com:eclipse/kapua.git,11e610c657f7e473b52882833e33a2261bd3d67d,/service/security/shiro/src/main/java/org/eclipse/kapua/service/authentication/credential/shiro/CredentialServiceImpl.java,60,442,https://github.com/eclipse/kapua/blob/11e610c657f7e473b52882833e33a2261bd3d67d/service/security/shiro/src/main/java/org/eclipse/kapua/service/authentication/credential/shiro/CredentialServiceImpl.java/#L60-L442,1
770,11,6350501,blob,major,09:48.4,class,org.eclipse.linuxtools.internal.systemtap.ui.ide.editors.stp.STPIndenter,git@github.com:eclipse/linuxtools.git,11865e6e7d86a9d2e63c7b25605f6055875e63ad,/systemtap/org.eclipse.linuxtools.systemtap.ui.ide/src/org/eclipse/linuxtools/internal/systemtap/ui/ide/editors/stp/STPIndenter.java,45,2342,https://github.com/eclipse/linuxtools/blob/11865e6e7d86a9d2e63c7b25605f6055875e63ad/systemtap/org.eclipse.linuxtools.systemtap.ui.ide/src/org/eclipse/linuxtools/internal/systemtap/ui/ide/editors/stp/STPIndenter.java/#L45-L2342,1
976,17,6624209,blob,major,24:18.3,class,com.esri.samples.imagelayers.map_image_layer_tables.MapImageLayerTablesSample,git@github.com:Esri/arcgis-runtime-samples-java.git,c7a0b309586495ff9cc9dbed129e411943547793,/src/main/java/com/esri/samples/imagelayers/map_image_layer_tables/MapImageLayerTablesSample.java,53,234,https://github.com/Esri/arcgis-runtime-samples-java/blob/c7a0b309586495ff9cc9dbed129e411943547793/src/main/java/com/esri/samples/imagelayers/map_image_layer_tables/MapImageLayerTablesSample.java/#L53-L234,0
1007,5,6893505,blob,major,26:00.8,class,com.sun.tools.jdeps.JdepsConfiguration.Builder,git@github.com:google/error-prone-javac.git,a53d069bbdb2c60232ed3811c19b65e41c3e60e0,/src/jdk.jdeps/share/classes/com/sun/tools/jdeps/JdepsConfiguration.java,476,649,https://github.com/google/error-prone-javac/blob/a53d069bbdb2c60232ed3811c19b65e41c3e60e0/src/jdk.jdeps/share/classes/com/sun/tools/jdeps/JdepsConfiguration.java/#L476-L649,0
